Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power bhp,Max Torque Nm,Height_yj,Price_yj
Other,5950000,2021,35000,Diesel,Automatic,Delhi,First,Individual,1999.0,AWD,4371.0,1996.0,1649.0,5.0,66.5,177.0,430.0,7.216449660063518e-16,1.9676057489619163
BMW,3800000,2018,87000,Diesel,Automatic,Raipur,First,Individual,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,190.0,400.0,9.159339953157541e-16,1.5587768593345588
Hyundai,1000000,2018,42000,Petrol,Automatic,Kolkata,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,0.18063815476331296
Mahindra,1490000,2018,68000,Diesel,Manual,Ludhiana,Second,Individual,2179.0,AWD,4456.0,1820.0,1995.0,7.0,60.0,140.0,320.0,2.3037127760972e-15,0.6191754136044142
MG,1550000,2022,600,Petrol,Manual,Kolkata,First,Individual,1498.0,FWD,4323.0,1809.0,1650.0,5.0,48.0,108.0,144.0,7.216449660063518e-16,0.6612935378378736
Toyota,575000,2013,82000,Petrol,Manual,Varanasi,UnRegistered Car,Individual,1998.0,FWD,4555.0,1770.0,1755.0,8.0,55.0,136.0,182.0,1.3877787807814457e-15,-0.46927667376648424
Toyota,484999,2017,86006,Diesel,Manual,Gurgaon,First,Individual,1364.0,FWD,3884.0,1695.0,1510.0,5.0,45.0,67.0,170.0,-6.38378239159465e-16,-0.6793698321669379
Honda,425000,2014,75000,Diesel,Manual,Kanpur,First,Individual,1498.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,99.0,200.0,-8.049116928532385e-16,-0.845788031380526
Mahindra,1150000,2014,99000,Diesel,Manual,Ludhiana,First,Individual,2179.0,RWD,4456.0,1820.0,1995.0,8.0,60.0,120.0,280.0,2.3037127760972e-15,0.3370866425349091
Skoda,3195000,2021,21651,Petrol,Automatic,Mumbai,First,Individual,1798.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,177.0,250.0,-9.71445146547012e-16,1.393761896771936
Hyundai,725000,2016,84000,Diesel,Manual,Other,First,Individual,1396.0,FWD,3995.0,1760.0,1555.0,5.0,45.0,89.0,220.0,-1.1102230246251565e-16,-0.19099512632184237
Maruti Suzuki,741000,2017,31000,Petrol,Automatic,Mumbai,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0,-9.43689570931383e-16,-0.16524430807283685
Mahindra,1550000,2020,28000,Diesel,Manual,Delhi,First,Individual,2184.0,AWD,3985.0,1820.0,1920.0,6.0,57.0,130.0,300.0,2.0816681711721685e-15,0.6612935378378736
Honda,645000,2015,64000,Diesel,Manual,Raipur,First,Individual,1498.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,99.0,200.0,-8.049116928532385e-16,-0.3302496381439244
Honda,550000,2014,85000,Diesel,Manual,Jaipur,First,Individual,1498.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,99.0,200.0,-8.049116928532385e-16,-0.5236653086149117
Maruti Suzuki,595000,2017,35000,Petrol,Automatic,Mumbai,Third,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.4276682436243619
Volvo,1595000,2015,44000,Diesel,Automatic,Mumbai,First,Individual,1984.0,FWD,4370.0,1783.0,1458.0,5.0,60.0,150.0,350.0,-1.304512053934559e-15,0.6916826379457816
Maruti Suzuki,500000,2017,32000,Petrol,Automatic,Chennai,Second,Individual,998.0,FWD,3715.0,1635.0,1565.0,5.0,35.0,67.0,90.0,-2.7755575615628914e-17,-0.6414108178289813
Maruti Suzuki,570000,2017,36000,Petrol,Automatic,Zirakpur,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.47993641481758614
Renault,800000,2021,13000,Petrol,Automatic,Dehradun,First,Individual,999.0,FWD,3991.0,1750.0,1605.0,5.0,40.0,99.0,152.0,3.608224830031759e-16,-0.07547977828479147
Maruti Suzuki,440000,2018,40000,Petrol,Manual,Kanpur,First,Individual,1498.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,116.0,200.0,8.881784197001252e-16,-0.8017837512867486
Mercedes-Benz,509999,2007,39000,Petrol,Automatic,Ludhiana,Third,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-0.6168217489517791
Maruti Suzuki,610000,2022,3800,Other,Manual,Delhi,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,4.0,55.0,58.0,78.0,-2.7755575615628914e-17,-0.39749287000250666
Toyota,1995000,2018,35123,Diesel,Manual,Patna,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,148.0,343.0,1.582067810090848e-15,0.9252063522270131
Kia,1875000,2021,21000,Diesel,Automatic,Delhi,First,Individual,1493.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,114.0,250.0,6.661338147750939e-16,0.8611870496701821
Hyundai,1748999,2022,2670,Petrol,Automatic,Kolkata,First,Individual,1497.0,FWD,4300.0,1790.0,1635.0,5.0,50.0,113.0,144.0,5.828670879282072e-16,0.7887431269211835
Skoda,640000,2016,124000,Diesel,Manual,Coimbatore,First,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,105.0,250.0,-1.1934897514720433e-15,-0.3395981525348436
Hyundai,779000,2016,9889,Petrol,Manual,Bangalore,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.10654018155721959
Honda,1450000,2021,13000,Petrol,Automatic,Delhi,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,118.0,145.0,-8.049116928532385e-16,0.5900098480918764
Tata,890000,2018,35000,Petrol,Automatic,Chennai,First,Individual,1198.0,FWD,3994.0,1811.0,1607.0,5.0,44.0,108.0,170.0,3.608224830031759e-16,0.04786690820705145
Maruti Suzuki,625000,2017,51145,Petrol,Manual,Other,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.36815022490054655
Toyota,434999,2010,120000,Diesel,Manual,Ranchi,First,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-0.8162625930014354
Mercedes-Benz,4550000,2018,45000,Diesel,Automatic,Mumbai,First,Individual,2143.0,AWD,4656.0,1890.0,1639.0,5.0,66.0,168.0,400.0,6.38378239159465e-16,1.7260531182616792
Skoda,2500000,2017,82900,Diesel,Automatic,Coimbatore,First,Individual,1968.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,174.0,350.0,-9.71445146547012e-16,1.1535060633331609
Ford,270000,2015,64000,Petrol,Manual,Pune,First,Individual,1196.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,70.0,102.0,-1.7763568394002505e-15,-1.4411369495043846
Maruti Suzuki,825000,2019,9644,Petrol,Automatic,Pune,First,Individual,1197.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,82.0,113.0,-5.828670879282072e-16,-0.039690907540739936
Maruti Suzuki,425000,2017,41624,Petrol,Automatic,Pune,Second,Individual,998.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,67.0,90.0,-5.551115123125783e-17,-0.845788031380526
Hyundai,459999,2016,82844,Diesel,Manual,Hyderabad,First,Individual,1186.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,74.0,190.0,-4.996003610813204e-16,-0.7456989055913031
Mercedes-Benz,980000,2011,78000,Petrol,Automatic,Ludhiana,Second,Individual,2497.0,RWD,4868.0,1854.0,1471.0,5.0,80.0,204.0,245.0,-1.1102230246251565e-15,0.15777302654592124
Renault,789000,2017,60444,Petrol,Manual,Bangalore,First,Individual,1498.0,FWD,4315.0,1822.0,1695.0,5.0,50.0,105.0,142.0,1.0269562977782698e-15,-0.09163221561268735
Mahindra,775000,2014,125000,Diesel,Manual,Lucknow,First,Individual,2179.0,RWD,4456.0,1820.0,1995.0,8.0,60.0,120.0,280.0,2.3037127760972e-15,-0.11256445043272614
Hyundai,1400000,2019,13000,Petrol,Automatic,Mumbai,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,0.552238215528333
Maruti Suzuki,770000,2015,112000,Diesel,Manual,Chennai,First,Individual,1248.0,FWD,4265.0,1695.0,1685.0,7.0,45.0,89.0,200.0,9.71445146547012e-16,-0.12014473113590168
Maruti Suzuki,445000,2012,54948,Diesel,Manual,Mangalore,First,Individual,1248.0,FWD,3715.0,1680.0,1620.0,5.0,43.0,75.0,190.0,4.718447854656915e-16,-0.7874937995020878
Hyundai,450000,2016,53300,Petrol,Manual,Pune,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0,-4.996003610813204e-16,-0.7733853845356201
Honda,840000,2019,34000,Petrol,Manual,Delhi,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0,-8.049116928532385e-16,-0.018804910391451234
Mercedes-Benz,2800000,2018,20000,Diesel,Automatic,Mumbai,First,Individual,2143.0,FWD,4630.0,1777.0,1432.0,5.0,56.0,136.0,300.0,-1.6930901125533637e-15,1.2655160163021122
Hyundai,525000,2018,78900,Diesel,Manual,Other,First,Individual,1120.0,FWD,3995.0,1660.0,1520.0,5.0,43.0,71.0,160.0,-4.996003610813204e-16,-0.5809425531773481
Skoda,1989999,2018,103000,Diesel,Automatic,Delhi,First,Individual,1498.0,FWD,4697.0,1882.0,1665.0,7.0,63.0,116.0,200.0,8.049116928532385e-16,0.9226267830447327
Tata,1200000,2017,95785,Diesel,Automatic,Hyderabad,First,Individual,2179.0,RWD,4788.0,1903.0,1791.0,7.0,60.0,154.0,400.0,1.5543122344752192e-15,0.3841319834872271
Ford,620000,2017,92000,Diesel,Manual,Agra,First,Individual,1498.0,FWD,3998.0,1765.0,1647.0,5.0,52.0,99.0,205.0,6.938893903907228e-16,-0.37784124931993823
Mercedes-Benz,1998999,2017,39328,Diesel,Automatic,Kolkata,First,Individual,2143.0,FWD,4630.0,1777.0,1432.0,5.0,56.0,134.0,300.0,-1.6930901125533637e-15,0.9272637906235485
Toyota,2725000,2020,18625,Diesel,Automatic,Mumbai,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,148.0,360.0,1.582067810090848e-15,1.2388401398716449
Maruti Suzuki,590000,2019,26000,Petrol,Manual,Lucknow,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,83.0,115.0,-3.885780586188048e-16,-0.4379195190543026
MINI,1489000,2014,81000,Diesel,Automatic,Other,Second,Individual,1995.0,FWD,4097.0,1789.0,1561.0,5.0,47.0,112.0,270.0,-5.551115123125783e-17,0.6184571799621864
Maruti Suzuki,685000,2018,92000,Diesel,Automatic,Ludhiana,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,74.0,190.0,-5.828670879282072e-16,-0.2583080285035166
Mahindra,1121000,2019,38000,Diesel,Manual,Patna,First,Individual,2523.0,RWD,4456.0,1820.0,1930.0,7.0,60.0,75.0,200.0,2.1094237467877974e-15,0.30872107694040185
Audi,1350000,2015,47706,Diesel,Automatic,Ranchi,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0,3.608224830031759e-16,0.5128994949373513
Maruti Suzuki,1299000,2021,13400,Petrol,Manual,Mysore,First,Individual,1462.0,FWD,4445.0,1775.0,1700.0,6.0,45.0,103.0,138.0,1.0547118733938987e-15,0.4710280159382065
Ford,450000,2016,44613,Diesel,Manual,Ranchi,First,Individual,1498.0,FWD,3995.0,1695.0,1525.0,5.0,40.0,99.0,215.0,-4.440892098500626e-16,-0.7733853845356201
Maruti Suzuki,550000,2019,29000,Petrol,Manual,Kolkata,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,83.0,115.0,-3.885780586188048e-16,-0.5236653086149117
BMW,4390000,2020,23000,Diesel,Automatic,Mumbai,First,Corporate,1995.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,188.0,400.0,-1.7486012637846216e-15,1.6931387565869793
Hyundai,495000,2015,42000,Petrol,Manual,Kolkata,First,Individual,1591.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,121.0,155.0,-1.0547118733938987e-15,-0.6539173316657143
Hyundai,360000,2015,16205,Petrol,Manual,Pune,First,Individual,998.0,FWD,3515.0,1550.0,1510.0,5.0,32.0,68.0,94.0,-6.38378239159465e-16,-1.05930435097033
Maruti Suzuki,345000,2007,92000,Petrol,Automatic,Mohali,Third,Individual,1995.0,AWD,4470.0,1810.0,1695.0,5.0,66.0,120.0,170.0,1.0269562977782698e-15,-1.1148426998791
Hyundai,565000,2016,29000,Petrol,Automatic,Mumbai,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,79.0,112.0,-4.996003610813204e-16,-0.4907030866909621
Mahindra,615000,2017,69000,Diesel,Automatic,Delhi,First,Individual,1493.0,RWD,3995.0,1835.0,1839.0,7.0,60.0,100.0,240.0,1.7486012637846216e-15,-0.38762161102192855
Honda,525000,2015,114635,Diesel,Manual,Kolkata,First,Individual,1498.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,99.0,200.0,-8.049116928532385e-16,-0.5809425531773481
Audi,1175000,2012,77000,Diesel,Automatic,Mumbai,Second,Individual,1968.0,FWD,4915.0,1874.0,1455.0,5.0,65.0,177.0,380.0,-1.3600232051658168e-15,0.3608940687700593
Honda,1390000,2022,32000,Petrol,Automatic,Delhi,First,Individual,1498.0,FWD,4549.0,1748.0,1489.0,5.0,40.0,119.0,145.0,-8.881784197001252e-16,0.5444996892696671
Volkswagen,2990000,2020,17904,Diesel,Automatic,Mumbai,First,Individual,1968.0,AWD,4486.0,1839.0,1672.0,5.0,71.0,141.0,340.0,8.604228440844963e-16,1.3296100096133643
Honda,295000,2012,66240,Petrol,Manual,Jaipur,Third,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-1.3219853013161573
Mahindra,379000,2012,88500,Diesel,Manual,Other,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-0.9926210573553691
Maruti Suzuki,610000,2017,105000,Diesel,Manual,Pune,First,Corporate,1248.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,74.0,190.0,-3.885780586188048e-16,-0.39749287000250666
Hyundai,1075000,2019,45000,Petrol,Automatic,Raipur,First,Individual,1591.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,122.0,151.0,8.049116928532385e-16,0.26196962565685
Toyota,1321000,2018,38000,Petrol,Automatic,Mumbai,First,Corporate,1798.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,138.0,173.0,-1.0547118733938987e-15,0.48931565371639574
Maruti Suzuki,950000,2020,55055,Diesel,Manual,Ludhiana,First,Individual,1248.0,FWD,4300.0,1785.0,1595.0,5.0,48.0,89.0,200.0,2.498001805406602e-16,0.1224605205392139
Maruti Suzuki,825000,2021,22000,Petrol,Manual,Raipur,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.039690907540739936
Other,1300000,2013,95000,Diesel,Manual,Bangalore,Second,Individual,2477.0,AWD,4695.0,1815.0,1840.0,7.0,70.0,176.0,400.0,1.7763568394002505e-15,0.47186689494722495
Maruti Suzuki,465000,2014,25704,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,85.0,114.0,-3.885780586188048e-16,-0.7321072360118279
Maruti Suzuki,475000,2016,55353,Diesel,Manual,Kanpur,Second,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0,-1.1102230246251565e-16,-0.7054213835920488
Audi,1775000,2015,80000,Diesel,Automatic,Chennai,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0,3.608224830031759e-16,0.8041687276596757
Volkswagen,825000,2018,62000,Petrol,Automatic,Faridabad,First,Corporate,1197.0,FWD,4390.0,1699.0,1467.0,5.0,55.0,103.0,175.0,-1.1934897514720433e-15,-0.039690907540739936
Tata,379000,2018,29434,Petrol,Manual,Kolkata,Second,Individual,1047.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,69.0,140.0,-3.3306690738754696e-16,-0.9926210573553691
Datsun,240000,2017,42000,Petrol,Manual,Lucknow,First,Individual,1198.0,FWD,3785.0,1635.0,1485.0,5.0,35.0,67.0,104.0,-9.43689570931383e-16,-1.6018887130511132
Kia,1525000,2021,14000,Petrol,Manual,Delhi,First,Individual,1497.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,114.0,144.0,6.661338147750939e-16,0.6439736939460495
Mercedes-Benz,1044999,2012,75000,Diesel,Automatic,Mumbai,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,0.23023478998348648
Mercedes-Benz,2450000,2018,61000,Diesel,Automatic,Mumbai,Second,Individual,2143.0,FWD,4424.0,1804.0,1494.0,5.0,50.0,134.0,300.0,-8.326672684688674e-16,1.1333540213634372
Mercedes-Benz,1789999,2015,45000,Diesel,Automatic,Lucknow,First,Individual,2143.0,FWD,4417.0,1804.0,1494.0,5.0,50.0,134.0,300.0,-8.326672684688674e-16,0.8129506935332017
Mercedes-Benz,4275000,2019,31000,Diesel,Automatic,Delhi,First,Individual,1950.0,RWD,4686.0,1810.0,1442.0,5.0,66.0,192.0,400.0,-1.5543122344752192e-15,1.6686268386249765
Hyundai,775000,2020,39000,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,82.0,115.0,-6.661338147750939e-16,-0.11256445043272614
Hyundai,300000,2018,51000,Petrol,Manual,Kanpur,First,Individual,814.0,FWD,3495.0,1550.0,1500.0,5.0,32.0,55.0,75.0,-7.494005416219807e-16,-1.299534502074195
Audi,1685000,2016,80251,Diesel,Automatic,Delhi,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0,3.608224830031759e-16,0.7496355233040128
Hyundai,270000,2010,86000,Petrol,Manual,Chennai,Second,Individual,1197.0,FWD,3565.0,1595.0,1550.0,5.0,35.0,80.0,111.0,-1.6653345369377348e-16,-1.4411369495043846
Hyundai,625000,2017,42000,Petrol,Manual,Patna,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.36815022490054655
Kia,1490000,2019,57600,Petrol,Automatic,Chennai,First,Individual,1353.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,138.0,242.0,6.661338147750939e-16,0.6191754136044142
Mahindra,1095000,2018,57000,Diesel,Manual,Lucknow,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,153.0,360.0,1.5265566588595902e-15,0.28257073322441045
Ford,850000,2014,85000,Diesel,Automatic,Zirakpur,First,Individual,2953.0,AWD,5060.0,1788.0,1826.0,7.0,71.0,154.0,380.0,1.7208456881689926e-15,-0.005115297725002817
Hyundai,1600000,2016,128000,Diesel,Automatic,Pune,Second,Corporate,1995.0,FWD,4475.0,1850.0,1660.0,5.0,62.0,182.0,400.0,7.771561172376096e-16,0.6949988723517159
Toyota,265000,2011,66000,Petrol,Manual,Delhi,First,Individual,1496.0,FWD,4265.0,1695.0,1510.0,5.0,45.0,80.0,132.0,-6.38378239159465e-16,-1.4664743006836327
Volkswagen,360000,2013,58000,Petrol,Manual,Chandigarh,First,Individual,1598.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,103.0,153.0,-1.1934897514720433e-15,-1.05930435097033
Maruti Suzuki,350000,2012,89445,Diesel,Manual,Hyderabad,First,Individual,1248.0,FWD,3715.0,1680.0,1620.0,5.0,43.0,75.0,190.0,4.718447854656915e-16,-1.09602958797009
Toyota,1485000,2015,64120,Diesel,Manual,Delhi,Second,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,169.0,343.0,1.8041124150158794e-15,0.6155787468825861
Maruti Suzuki,800000,2017,82300,Petrol,Manual,Pune,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0,-9.43689570931383e-16,-0.07547977828479147
Maruti Suzuki,710000,2017,73000,Diesel,Manual,Lucknow,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0,6.38378239159465e-16,-0.21573070849083048
Maruti Suzuki,710000,2018,72000,Diesel,Manual,Lucknow,First,Individual,1598.0,FWD,4300.0,1765.0,1590.0,5.0,48.0,118.0,320.0,2.220446049250313e-16,-0.21573070849083048
Volkswagen,720000,2018,50197,Petrol,Manual,Pune,First,Individual,999.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,75.0,95.0,-1.1379786002407855e-15,-0.19917510307634145
Honda,395000,2014,44527,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0,-6.661338147750939e-16,-0.9393519344113177
Audi,2799000,2017,72400,Diesel,Automatic,Bangalore,First,Individual,1968.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,188.0,400.0,-1.7763568394002505e-15,1.2651657081029326
Ford,455000,2014,50000,Petrol,Manual,Delhi,Second,Individual,1499.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,109.0,140.0,1.0824674490095276e-15,-0.7594542211658295
Honda,690000,2014,37000,Petrol,Manual,Delhi,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0,-8.049116928532385e-16,-0.2496525696279369
Tata,1995000,2020,8000,Diesel,Automatic,Other,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,168.0,350.0,1.0824674490095276e-15,0.9252063522270131
Honda,450000,2013,61000,Petrol,Manual,Delhi,First,Individual,1497.0,FWD,4440.0,1695.0,1485.0,5.0,42.0,116.0,146.0,-9.43689570931383e-16,-0.7733853845356201
BMW,2149000,2015,69000,Diesel,Automatic,Delhi,First,Individual,1995.0,RWD,4936.0,1868.0,1479.0,5.0,65.0,188.0,400.0,-9.992007221626409e-16,1.0012250326774128
Tata,860000,2018,82200,Diesel,Manual,Pune,First,Individual,1497.0,FWD,3994.0,1811.0,1607.0,5.0,44.0,108.0,260.0,3.608224830031759e-16,0.008392274588819486
Honda,875000,2018,28000,Petrol,Manual,Delhi,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0,-8.049116928532385e-16,0.0283220974306389
Mahindra,580000,2011,117000,Diesel,Manual,Other,Second,Individual,2179.0,AWD,4430.0,1817.0,1975.0,7.0,60.0,122.0,290.0,2.248201624865942e-15,-0.45872188545183057
MG,3500000,2021,7900,Diesel,Automatic,Hyderabad,First,Individual,1996.0,AWD,4985.0,1926.0,1867.0,6.0,75.0,215.0,480.0,1.887379141862766e-15,1.4810134856263766
Maruti Suzuki,229999,2010,72000,Petrol,Manual,Kanpur,First,Individual,1298.0,FWD,4160.0,1690.0,1530.0,5.0,43.0,87.0,113.0,-3.885780586188048e-16,-1.6606255330412294
Audi,1513000,2015,79000,Diesel,Automatic,Ahmedabad,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0,3.608224830031759e-16,0.6355450370269182
Datsun,320000,2018,42313,Petrol,Automatic,Bangalore,Second,Individual,999.0,FWD,3429.0,1560.0,1541.0,5.0,28.0,67.0,91.0,-2.7755575615628914e-16,-1.2138062378016143
BMW,5975000,2021,18000,Diesel,Automatic,Delhi,First,Individual,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,190.0,400.0,9.159339953157541e-16,1.971310691184062
Maruti Suzuki,1025000,2019,90000,Diesel,Manual,Hyderabad,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0,6.38378239159465e-16,0.20849855396471584
Maruti Suzuki,630000,2017,36000,Diesel,Manual,Patna,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,74.0,190.0,-5.828670879282072e-16,-0.3585470167512656
Hyundai,1090000,2020,26200,Petrol,Automatic,Delhi,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0,3.608224830031759e-16,0.27746083275911165
Maruti Suzuki,700000,2019,11000,Petrol,Manual,Chennai,Second,Individual,1197.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,82.0,113.0,-3.885780586188048e-16,-0.23255378532136559
Maruti Suzuki,661000,2021,14366,Petrol,Manual,Ahmedabad,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,89.0,113.0,-3.885780586188048e-16,-0.3008795090992684
Tata,250999,2011,98000,Diesel,Manual,Mumbai,First,Individual,2179.0,FWD,4421.0,1780.0,1940.0,7.0,65.0,120.0,250.0,2.1371793224034263e-15,-1.5404236384369636
Mahindra,565000,2017,65000,Diesel,Manual,Delhi,Second,Individual,1493.0,RWD,3995.0,1835.0,1839.0,7.0,60.0,84.0,230.0,1.7486012637846216e-15,-0.4907030866909621
Toyota,750000,2014,126000,Diesel,Manual,Delhi,First,Individual,2494.0,RWD,4585.0,1760.0,1760.0,7.0,55.0,100.0,200.0,1.3877787807814457e-15,-0.151035978067518
Audi,1850000,2015,71700,Diesel,Automatic,Navi Mumbai,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0,3.608224830031759e-16,0.8472625660749162
Mahindra,850000,2016,114000,Diesel,Manual,Lucknow,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,138.0,330.0,1.5265566588595902e-15,-0.005115297725002817
Hyundai,535000,2016,58339,Diesel,Manual,Other,First,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,89.0,220.0,-6.661338147750939e-16,-0.5576666607018006
Volkswagen,345000,2011,50667,Petrol,Automatic,Mumbai,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-1.1148426998791
Maruti Suzuki,770000,2019,72040,Diesel,Automatic,Pune,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,74.0,190.0,-5.828670879282072e-16,-0.12014473113590168
Kia,1195000,2022,6200,Petrol,Manual,Kolkata,First,Individual,998.0,FWD,3995.0,1790.0,1647.0,5.0,45.0,118.0,172.0,6.938893903907228e-16,0.3795287343556537
Skoda,3199000,2021,6900,Petrol,Automatic,Kolkata,First,Individual,1798.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,177.0,250.0,-9.71445146547012e-16,1.3949666543078718
Volkswagen,625000,2016,68000,Petrol,Automatic,Delhi,First,Individual,1197.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,103.0,175.0,-1.1379786002407855e-15,-0.36815022490054655
Maruti Suzuki,745000,2018,36000,Diesel,Manual,Patna,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0,6.38378239159465e-16,-0.15890538756509542
Hyundai,551000,2021,19000,Petrol,Manual,Ahmedabad,First,Individual,1086.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0,-5.551115123125783e-17,-0.5214361679388742
Mercedes-Benz,5950000,2019,10000,Diesel,Automatic,Chennai,First,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,192.0,400.0,-8.326672684688674e-16,1.9676057489619163
